review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,pros_cleaned,cons_cleaned,pros_polarity,cons_polarity,sentiment_polarity,sentiment_label
26,2025-04-02T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,Avoid working here at all cost,Amazon Fulfillment Center,"Saint Peters, MO",Picker,,"Always hours available, anytime pay","Long hours, minimal light, will write you up for bathroom breaks, mandatory overtime with little to no heads up. This place drains you emotionally and physically.",1,1,1,"always hours available, anytime pay","long hours, minimal light, write bathroom breaks, mandatory overtime little heads up. drains emotionally physically.",-0.1027,0.0772,-0.012749999999999997,neutral
27,2025-04-01T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,0,0,4,0,Ok,Amazon Fulfillment Center,"Corona, CA",Warehouse,,Easy starter job to work at,Can be fast paced and employment depends on management,0,0,0,easy starter,fast paced employment depends management,0.4404,0.0,0.2202,positive
28,2025-03-31T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,3,3,3,5,Amazon Fulfillment Center,Amazon Fulfillment Center,Illescas,Mozo de almac%C3%A9n,,"Seguridad, compañerismo, comodidad, rotativos, adaptabilidad","Trabajo cansado, fines de semana, no posibilidad de cobrar más",3,3,2,"seguridad, compañerismo, comodidad, rotativos, adaptabilidad","trabajo cansado, fines semana, posibilidad cobrar más",0.0,0.0,0.0,neutral
29,2025-03-31T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,4,0,fun,Amazon Fulfillment Center,"San Bernardino, CA",Inbound Stower,,benefits and not bad pay,no cons it was easy work people just complain,0,0,0,benefits pay,cons easy complain,0.296,0.1027,0.19935,positive
30,2025-03-31T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,,,,0,0,5,0,Fulfillment Center,Amazon Fulfillment Center,"Aurora, CO",Warehouse Associate,,"Flexible Schedule
4 day/10 hour shifts
Low Stress Environment
Frequent Overtime Opportunity","Monotonous Work
Not Particularly Rewarding Work
Work Can Become Slow from January to May",0,0,0,flexible schedule day/10 hour shifts low stress environment frequent overtime opportunity,monotonous particularly rewarding become slow january may,-0.0516,0.5709,0.25965,positive
31,2025-03-31T00:00:00.000Z,0,0,0,,Former employee,False,False,,,,0,0,4,0,Buen trabajo,Amazon Fulfillment Center,Coslada,Mozo De Almacen,,"Buen sueldo, ambiente laboral agradable, respeto por las normas de seguridad","Descanso muy corto, muchos jefes por lo que las ordenes pueden variar de uno a otro y puede confundir al empleado.",0,0,0,"buen sueldo, ambiente laboral agradable, respeto por las normas seguridad","descanso muy corto, muchos jefes por que las ordenes pueden variar uno otro puede confundir empleado.",0.0,0.0,0.0,neutral
32,2025-03-27T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,NEGATIVE,APPROVE,NEGATIVE,3,4,3,3,Amazon Warehouse Associate,Amazon Fulfillment Center,"Ottawa, ON",Process Associate,"Try to focus more on employee engagement and break the barriers of community, race or personal biases
Give opportunities to employees to grow rather than nurturing a neo slavery attitude
There are many associates who are skilled and experienced but working in warehouse due to personal situation. Leadership should give them opportunity to optimize their skills and experience rather than taking their advantage and utilizing them for only labor works.","Best in class work environment
Experience working in robotic environment
Competitive work benefits and accommodations","Too much physical work with not much of Job security
Pressure for target work negatively impact physical and mental health
Biased leadership - does not justify experience skills or ability but personal connections and nepotism works more for training promotion and preferred job roles",3,2,3,best class environment experience robotic environment competitive benefits accommodations,much physical much security pressure target negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred roles,0.8176,0.1027,0.46015,positive
33,2025-03-26T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEUTRAL,APPROVE,POSITIVE,0,0,4,0,Hard work but decent pay,Amazon Fulfillment Center,"Edgemere, MD",Order Picker,,"Good benefits, decent time off opportunities. Automatic hire without an interview.",Management will move you around the building a lot. I was a top performer in order picking and was moved to pack nearly every day.,0,0,0,"benefits, decent time opportunities. automatic hire without interview.",management move around building lot. top performer order picking moved pack nearly every day.,0.6369,0.2023,0.41960000000000003,positive
34,2025-03-26T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,POSITIVE,3,4,4,3,amzn,Amazon Fulfillment Center,"San Antonio, TX",Fulfullment Associate,,They pay for you if you want to go to college.,it's just a lot of work you have to do,2,1,3,pay want college.,,-0.0258,0.0,-0.0129,neutral
35,2025-03-24T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,NEGATIVE,,NEGATIVE,4,3,3,4,Salary,Amazon Fulfillment Center,"Ajax, ON",Warehouse Associate,,"Good pay and benefits
Good people 
Safety first","Biased management 
Work like robots
No growth/opportunities",4,1,1,pay benefits safety first,biased management robots growth/opportunities,0.6124,-0.2732,0.16960000000000003,positive
